				Overall							PP		SH		Defense	
Antoine Roussel	VAN	LW	65	9	22	31	5	118	84	1	0	0	0	0	87	50
John Klingberg	DAL	D	52	9	28	37	4	10	130	5	4	13	0	0	33	63
Travis Sanheim	PHI	D	70	9	22	31	3	12	100	2	2	2	0	0	35	112
Adam Lowry	WPG	LW	66	9	9	18	3	33	86	3	0	0	1	2	195	41
Esa Lindell	DAL	D	70	9	20	29	12	29	111	1	3	3	2	0	129	133
Tyler Motte	VAN	C	68	9	7	16	-8	6	105	1	0	0	2	0	187	46
Luke Glendening	DET	RW	71	9	12	21	1	15	92	1	0	0	1	1	172	89
Chris Tierney	OTT	C	71	9	35	44	-20	26	106	1	0	8	0	0	29	50
Markus Granlund	VAN	C	65	9	10	19	-5	16	105	0	1	1	0	1	39	21
Victor Hedman	TB	D	63	9	36	45	15	44	166	2	2	21	0	1	50	92
Justin Faulk	CAR	D	69	8	20	28	7	41	183	1	4	4	0	0	126	96
Cal Clutterbuck	NYI	RW	61	8	13	21	9	42	77	2	3	0	0	1	167	36
Jason Spezza	DAL	C	68	8	19	27	-10	25	101	1	2	10	0	0	13	28
Sven Baertschi	VAN	LW	22	8	5	13	-5	6	40	0	3	4	0	0	16	13
Rasmus Dahlin	BUF	D	70	8	29	37	-7	26	147	3	4	12	0	0	76	57
Miles Wood	NJ	LW	56	8	13	21	-9	72	140	1	1	2	0	0	86	23
William Carrier	VGK	LW	48	8	1	9	-1	20	81	1	0	0	0	0	247	13
Roope Hintz	DAL	LW	46	8	6	14	-8	20	71	3	3	0	0	0	73	30
Zack Smith	OTT	C	62	8	16	24	-4	72	92	0	0	0	0	2	116	27
Matt Niskanen	WAS	D	69	8	15	23	-1	39	119	1	1	1	0	1	156	114
Matt Luff	LA	RW	33	8	3	11	-2	9	45	2	1	0	0	0	17	19
Zach Aston-Reese	PIT	C	43	8	9	17	12	26	76	1	0	0	1	0	138	37
Artturi Lehkonen	MON	LW	71	8	17	25	2	30	147	3	0	0	0	0	101	33
Lucas Wallmark	CAR	C	68	8	17	25	-3	34	116	4	2	5	0	0	65	33
Henrik Borgstrom	FLA	C	39	8	7	15	-9	2	50	0	3	2	0	0	11	12
Brock McGinn	CAR	LW	69	8	13	21	9	20	106	0	0	0	1	0	120	32
Mattias Ekholm	NSH	D	70	8	34	42	21	41	130	3	2	5	0	1	61	93
Mikko Koivu	MIN	C	48	8	21	29	-2	22	89	0	2	10	0	1	13	32
Ryan McDonagh	TB	D	71	8	28	36	32	28	112	1	0	3	0	2	80	129
Tyler Myers	WPG	D	68	8	17	25	11	57	131	2	0	5	1	1	77	87
Riley Sheahan	FLA	C	70	8	9	17	-10	15	91	2	0	0	1	1	65	36
Devin Shore	ANH	C	66	8	18	26	-9	9	64	4	1	3	2	0	83	57
Darnell Nurse	EDM	D	70	8	27	35	-10	77	171	1	1	8	0	1	135	122
T.J. Brodie	CGY	D	69	8	23	31	23	24	89	1	1	3	1	0	19	78
Kyle Clifford	LA	LW	60	8	6	14	3	57	92	2	0	0	0	0	98	21
Michael Grabner	ARI	RW	30	8	6	14	0	8	50	1	0	0	5	3	24	14
Ryan Pulock	NYI	D	70	8	25	33	22	20	148	3	3	5	0	0	120	127
Jesper Fast	NYR	RW	64	8	12	20	0	26	80	1	0	0	0	0	117	46
Ryan Donato	MIN	C	45	8	10	18	-7	6	103	1	3	3	0	0	19	13
Evan Rodrigues	BUF	C	64	8	18	26	-8	23	144	1	2	2	0	3	29	28
Jesper Bratt	NJ	LW	51	8	25	33	-8	6	91	1	1	7	0	0	36	22
Michael Rasmussen	DET	C	59	8	9	17	-7	29	71	0	4	0	0	0	80	27
Ryan Reaves	VGK	RW	69	8	9	17	0	60	81	1	3	0	0	0	268	22
Ondrej Palat	TB	LW	53	8	22	30	5	14	90	1	2	5	0	0	84	29
Mike Matheson	FLA	D	64	7	16	23	-22	32	113	2	0	6	0	0	49	105
Kyle Turris	NSH	C	46	7	15	22	-4	31	63	1	4	2	0	0	21	12
Ryan Suter	MIN	D	71	7	37	44	2	37	120	2	3	10	1	1	63	95
Eric Fehr	MIN	RW	61	7	7	14	-9	28	58	0	0	0	0	1	33	41
Brandon Montour	BUF	D	70	7	22	29	-17	48	150	2	0	4	0	0	84	105
Travis Hamonic	CGY	D	59	7	10	17	12	29	110	1	0	0	1	2	38	140
Nikita Zadorov	COL	D	58	7	4	11	13	69	79	0	0	0	0	0	183	50
Nikolay Goldobin	VAN	RW	61	7	20	27	-9	18	101	1	1	8	0	1	15	19
Tomas Nosek	VGK	LW	57	7	8	15	-10	14	97	1	0	0	0	0	61	19
Tage Thompson	BUF	RW	60	7	5	12	-17	20	103	0	1	0	0	0	58	9
Max Lajoie	OTT	D	56	7	8	15	-25	20	79	0	4	4	0	0	34	82
Robert Thomas	STL	C	58	7	18	25	-8	10	68	0	2	3	0	0	13	20
Jack Roslovic	WPG	RW	69	7	13	20	-5	4	57	0	5	1	0	0	26	20
Tyson Barrie	COL	D	66	7	40	47	-7	30	183	0	2	20	0	0	44	75
Denis Malgin	FLA	C	46	7	7	14	-9	12	60	0	0	0	0	0	36	20
Magnus Paajarvi	OTT	LW	69	7	5	12	-18	6	100	0	0	0	1	0	56	59
Zachary Sanford	STL	LW	49	7	7	14	5	19	68	2	0	0	0	0	38	32
Adam Erne	TB	LW	55	7	11	18	5	40	59	3	2	0	0	0	123	23
Dominik Simon	PIT	C	60	7	18	25	7	14	100	0	1	2	0	0	78	18
Nick Schmaltz	ARI	RW	40	7	18	25	-12	8	62	2	5	3	0	0	5	12
Dennis Cholowski	DET	D	52	7	9	16	-20	16	71	1	4	5	0	0	18	50
Jaden Schwartz	STL	LW	57	7	22	29	-6	16	154	0	1	3	0	0	52	21
Vincent Trocheck	FLA	C	43	7	20	27	0	46	119	1	2	8	0	0	91	31
Alexander Steen	STL	LW	53	7	13	20	-7	14	92	0	2	3	0	1	51	46
Darren Helm	DET	C	50	7	8	15	-9	18	90	0	0	0	1	2	47	24
Warren Foegele	CAR	LW	67	7	5	12	-16	16	91	3	0	0	0	0	111	19
Alexander Edler	VAN	D	44	7	16	23	3	42	99	2	2	8	0	0	101	132
P.K. Subban	NSH	D	53	7	18	25	-1	52	137	1	2	6	1	0	48	57
Austin Watson	NSH	LW	34	7	6	13	9	39	59	1	1	0	0	0	99	26
Oscar Lindberg	OTT	C	44	7	8	15	3	28	75	0	0	1	0	0	78	21
Garnet Hathaway	CGY	RW	64	7	4	11	6	45	64	3	0	0	2	0	164	30
Ivan Provorov	PHI	D	70	7	18	25	-11	32	128	1	0	2	0	0	101	130
Sean Kuraly	BOS	C	68	6	12	18	4	38	126	2	0	0	0	0	122	33
Brady Skjei	NYR	D	66	6	14	20	-3	38	98	1	0	0	0	1	157	98
Connor Brown	TOR	RW	70	6	18	24	12	14	74	0	0	1	0	3	28	30
Ryan Ellis	NSH	D	72	6	31	37	24	20	133	2	1	4	1	0	62	138
Nick Cousins	ARI	C	71	6	18	24	-9	29	125	1	0	2	0	0	104	47
Leo Komarov	NYI	LW	70	6	16	22	19	38	66	1	0	0	0	0	175	30
Michael Raffl	PHI	LW	56	6	12	18	6	28	55	1	0	0	1	0	84	20
Mattias Janmark	DAL	C	70	6	16	22	-4	20	91	0	0	0	0	1	27	39
Marcus Foligno	MIN	LW	71	6	11	17	-3	49	75	0	0	1	0	1	184	37
Jordan Staal	CAR	C	37	6	11	17	-7	22	91	0	0	1	0	0	96	10
Ryan Callahan	TB	RW	46	6	9	15	7	14	66	2	1	0	0	1	73	24
Justin Abdelkader	DET	LW	71	6	13	19	-14	38	95	0	1	1	1	0	185	34
Tyler Pitlick	DAL	C	43	6	4	10	-2	6	68	1	1	0	0	0	87	27
Shayne Gostisbehere	PHI	D	67	6	26	32	-16	14	160	2	2	10	0	0	42	87
Austin Czarnik	CGY	C	42	6	6	12	-6	6	53	3	0	2	0	0	4	19
Barclay Goodrow	SJ	LW	71	6	9	15	4	67	70	3	0	0	1	0	107	55
Lukas Radil	SJ	LW	32	6	4	10	10	6	37	2	0	0	0	0	26	8
Greg McKegg	CAR	C	29	6	5	11	0	6	25	1	0	0	0	0	20	15
Joakim Nordstrom	BOS	C	59	6	3	9	-6	11	94	2	0	0	0	0	73	49
Jacob Trouba	WPG	D	70	6	33	39	11	58	137	1	3	11	0	2	94	141
Charlie McAvoy	BOS	D	44	6	18	24	11	33	60	3	0	1	0	1	85	74
Jordan Oesterle	ARI	D	61	6	14	20	2	12	63	0	3	4	0	0	50	125
Brett Pesce	CAR	D	60	6	17	23	30	20	79	1	0	0	0	1	48	107
Mikkel Boedker	OTT	LW	63	6	26	32	-22	6	79	1	2	5	0	0	48	23
Blake Comeau	DAL	LW	66	6	10	16	-4	36	80	2	0	0	0	0	181	34
Nic Dowd	WAS	C	54	6	12	18	7	18	37	1	0	0	0	1	79	29
Brendan Leipsic	LA	LW	59	6	15	21	-16	22	89	1	1	3	0	0	47	26
Torey Krug	BOS	D	59	6	42	48	-3	31	139	2	2	27	0	0	51	53
Jake Muzzin	TOR	D	71	6	26	32	14	47	114	1	1	3	0	1	155	122
Michal Kempny	WAS	D	68	6	19	25	24	56	105	3	0	0	0	0	80	135
Jaccob Slavin	CAR	D	69	6	22	28	-3	18	118	1	4	2	0	1	53	114
Josh Morrissey	WPG	D	59	6	25	31	9	14	95	2	3	7	1	1	55	107
Joel Eriksson Ek	MIN	C	53	6	7	13	-5	18	100	2	0	0	0	0	101	24
William Nylander	TOR	C	42	5	14	19	-2	14	88	0	1	3	0	0	14	13
Luke Kunin	MIN	C	38	5	9	14	0	17	62	0	0	1	0	0	53	26
Vladimir Sobotka	BUF	C	64	5	7	12	-16	22	68	0	0	0	0	1	76	28
Colton Sceviour	FLA	RW	49	5	9	14	-1	15	101	0	0	1	0	0	68	43
Kiefer Sherwood	ANH	LW	46	5	5	10	2	6	51	0	0	0	0	0	75	17
Oscar Klefbom	EDM	D	49	5	15	20	-4	16	139	2	1	7	0	0	30	88
Jordan Weal	MON	C	52	5	8	13	-10	16	56	1	1	2	0	0	24	18
Ryan Kesler	ANH	C	60	5	3	8	-19	44	86	1	1	2	0	0	93	56
Chandler Stephenson	WAS	RW	56	5	5	10	-12	0	32	0	0	0	1	0	33	30
Brent Seabrook	CHI	D	66	5	20	25	-7	31	145	1	2	7	0	1	94	149
James Neal	CGY	RW	55	5	10	15	-10	24	122	1	1	4	0	0	37	17
Devon Toews	NYI	D	36	5	8	13	6	2	56	2	1	2	0	0	16	23
Jakob Chychrun	ARI	D	47	5	14	19	-10	26	101	0	3	4	0	0	63	71
Kenny Agostino	NJ	LW	52	5	14	19	0	30	63	0	0	3	0	0	120	9
Ben Chiarot	WPG	D	66	5	14	19	6	54	90	1	0	0	0	1	139	106
Matt Cullen	PIT	C	60	5	12	17	6	14	79	0	0	0	2	2	23	26
Sam Gagner	EDM	C	20	5	4	9	-6	12	46	1	1	0	0	0	10	4
Rocco Grimaldi	NSH	C	49	5	8	13	-2	8	78	0	0	0	0	0	31	17
Jason Dickinson	DAL	C	55	5	13	18	8	23	72	2	0	0	0	0	87	40
Adam Pelech	NYI	D	66	5	12	17	21	16	90	0	0	0	0	0	124	99
Johan Larsson	BUF	C	61	5	5	10	-9	33	63	0	0	0	1	0	87	37
David Backes	BOS	RW	59	5	11	16	-5	25	109	1	2	5	0	0	118	26
Brandon Dubinsky	CLS	C	49	5	7	12	-15	36	49	0	0	0	0	1	117	23
Kyle Brodziak	EDM	C	64	5	3	8	-13	31	68	2	0	0	1	0	85	40
Kevin Rooney	NJ	C	30	5	3	8	-3	13	24	1	0	0	1	0	57	13
Ryan Carpenter	VGK	C	56	5	10	15	-8	2	81	0	0	0	1	1	97	16
Brett Seney	NJ	LW	50	5	8	13	-13	31	49	0	0	1	0	0	47	14
Hampus Lindholm	ANH	D	66	5	20	25	-11	40	113	0	1	5	0	1	76	117
Drew Doughty	LA	D	70	5	34	39	-30	38	134	0	5	15	0	1	148	98
Patrick Maroon	STL	LW	62	5	14	19	-9	57	100	2	2	8	0	0	113	6
Milan Lucic	EDM	LW	68	5	12	17	-7	70	64	0	2	2	0	0	228	14
Matt Martin	NYI	LW	55	5	8	13	9	36	49	1	0	0	0	0	229	37
Erik Johnson	COL	D	68	5	15	20	6	38	133	0	0	0	0	0	106	110
Ron Hainsey	TOR	D	70	5	15	20	33	15	65	0	0	0	1	0	76	120
Pierre-Edouard Bellemare	VGK	C	69	5	8	13	0	6	94	0	0	0	1	0	64	43
Jordie Benn	MON	D	70	5	14	19	13	39	83	1	0	0	0	0	112	115
Cody Ceci	OTT	D	66	5	17	22	-21	14	114	1	0	1	0	0	106	130
Ben Hutton	VAN	D	64	5	15	20	-20	41	104	1	1	7	0	1	51	99
Dale Weise	MON	RW	51	5	6	11	-8	19	58	1	0	0	1	0	88	21
Duncan Keith	CHI	D	70	5	29	34	11	66	119	0	0	3	0	1	39	123
Mike Green	DET	D	43	5	21	26	-1	28	92	0	0	3	0	0	60	56
Carter Rowney	ANH	C	52	5	11	16	-1	10	42	0	0	0	0	0	143	27
Rasmus Ristolainen	BUF	D	70	5	34	39	-35	34	170	2	1	13	0	0	213	114
Brad Hunt	MIN	D	31	5	7	12	-3	2	55	1	4	4	0	0	12	17
Neal Pionk	NYR	D	61	5	16	21	-9	33	119	1	2	11	0	0	118	84
Noah Hanifin	CGY	D	70	5	24	29	12	12	105	2	1	4	1	1	80	69
Adam Gaudette	VAN	C	44	5	7	12	-4	14	46	1	0	2	0	0	37	13
Mikhail Sergachev	TB	D	65	5	20	25	10	18	110	0	0	5	0	0	82	77
Brett Howden	NYR	C	54	5	12	17	-13	4	58	1	0	2	0	0	55	35
Andrew Mangiapane	CGY	LW	32	4	3	7	2	8	43	1	0	0	0	0	32	12
Travis Dermott	TOR	D	60	4	13	17	-1	22	92	0	0	0	0	0	95	50
Peter Cehlarik	BOS	C	20	4	2	6	3	6	30	1	1	0	0	0	5	7
Michael Amadio	LA	C	37	4	4	8	-2	6	28	0	0	0	0	0	13	12
Jayce Hawryluk	FLA	C	34	4	4	8	-5	12	27	0	0	1	0	0	79	17
Samuel Girard	COL	D	70	4	16	20	5	6	107	0	0	8	0	0	53	72
Jake McCabe	BUF	D	55	4	10	14	-7	35	59	0	0	0	1	0	96	95
Brett Kulak	MON	D	46	4	7	11	8	31	81	2	0	0	1	0	80	54
Travis Boyd	WAS	C	45	4	15	19	5	6	31	0	0	2	0	0	13	20
Jamie Oleksiak	DAL	D	52	4	7	11	4	43	51	0	0	0	0	0	129	50
Brett Ritchie	DAL	RW	46	4	2	6	-4	55	47	2	1	0	0	0	116	13
John Moore	BOS	D	56	4	7	11	2	26	93	1	2	0	0	0	70	73
Mario Kempe	ARI	LW	48	4	5	9	7	18	51	0	0	0	0	0	99	29
Alec Martinez	LA	D	48	4	11	15	0	6	63	2	0	1	0	0	65	109
Markus Hannikainen	CLS	RW	43	4	3	7	-5	2	50	1	0	0	0	0	63	8
Markus Nutivaara	CLS	D	69	4	12	16	-3	6	82	1	0	0	0	0	63	49
Saku Maenalanen	CAR	LW	30	4	4	8	0	20	33	0	0	0	0	0	36	7
Jean-Sebastien Dea	FLA	C	23	4	2	6	0	8	29	1	0	0	0	0	21	12
David Kampf	CHI	RW	54	4	14	18	-5	10	68	0	0	0	0	0	30	26
Andy Greene	NJ	D	71	4	19	23	-3	12	91	0	0	2	0	4	59	188
Nate Thompson	MON	C	68	4	4	8	-1	17	53	0	0	0	0	0	67	42
Dan Girardi	TB	D	61	4	11	15	5	12	75	0	0	0	0	1	146	107
Jonas Brodin	MIN	D	71	4	13	17	-11	28	93	2	0	1	1	0	48	112
Matt Benning	EDM	D	58	4	10	14	14	31	78	0	0	1	0	1	91	46
Danny DeKeyser	DET	D	44	4	11	15	-6	37	50	2	0	0	0	0	75	77
Sven Andrighetto	COL	RW	52	4	8	12	5	10	75	0	0	0	0	0	24	24
Lukas Sedlak	CLS	C	45	4	2	6	-4	8	41	0	0	0	0	0	64	19
Sami Vatanen	NJ	D	49	4	13	17	-17	22	106	0	3	2	0	0	66	77
Carl Hagelin	WAS	LW	48	4	9	13	3	28	82	2	0	0	0	0	60	17
Brandon Sutter	VAN	C	26	4	2	6	-12	6	43	0	1	0	1	0	33	13
Dustin Byfuglien	WPG	D	37	4	26	30	4	58	105	1	1	15	0	0	65	46
Devante Smith-Pelly	WAS	RW	54	4	4	8	-6	15	60	0	0	0	0	0	78	36
Brian Gibbons	OTT	C	53	4	6	10	-8	16	41	0	0	0	0	0	31	23
Christian Wolanin	OTT	D	20	4	4	8	5	4	23	1	0	1	0	0	8	23
Troy Terry	ANH	C	25	4	6	10	5	2	21	0	2	1	0	0	3	11
Andrew Cogliano	DAL	LW	67	4	10	14	1	22	91	1	1	0	0	0	60	24
Zdeno Chara	BOS	D	52	4	7	11	11	48	75	2	1	1	0	0	65	78
David Savard	CLS	D	70	4	11	15	12	32	104	1	0	0	0	0	101	100
Marcus Kruger	CHI	C	63	4	7	11	-2	22	62	2	0	0	0	1	44	29
Scott Mayfield	NYI	D	67	4	14	18	19	64	82	0	0	0	1	0	100	139
Matt Nieto	COL	LW	58	4	18	22	3	8	81	1	0	0	1	2	45	22
Tom Kuhnhackl	NYI	RW	29	4	5	9	0	8	26	0	0	0	0	1	42	34
Derek Grant	ANH	C	46	4	7	11	-4	14	64	1	0	0	0	0	74	21
Boo Nieves	NYR	C	36	4	5	9	-3	8	24	1	0	0	0	0	31	15
Anthony DeAngelo	NYR	D	50	4	22	26	3	56	93	0	0	7	0	0	43	67
Will Butcher	NJ	D	69	4	23	27	-15	8	97	1	1	12	0	0	36	65
Jamie McGinn	FLA	LW	12	4	3	7	1	6	16	1	1	0	0	0	27	2
Marco Scandella	BUF	D	56	4	7	11	-11	26	78	1	0	0	0	1	47	67
Jesse Puljujarvi	EDM	RW	46	4	5	9	-14	16	53	0	0	1	0	0	46	26
Cam Fowler	ANH	D	49	4	12	16	-12	18	77	2	1	4	0	0	25	80
Robert Hagg	PHI	D	70	4	13	17	4	57	77	1	0	0	0	0	216	134
Ty Rattie	EDM	RW	45	4	7	11	-1	4	79	1	0	1	0	0	49	6
Rudolfs Balcers	OTT	LW	26	4	4	8	-3	4	36	1	2	0	0	0	16	20
Mason Appleton	WPG	C	36	3	7	10	9	4	29	1	0	0	0	0	28	12
Miikka Salomaki	NSH	RW	37	3	4	7	5	8	51	0	0	0	0	0	72	20
Dylan DeMelo	OTT	D	66	3	12	15	6	30	94	0	0	1	0	1	102	106
Matthew Peca	MON	C	38	3	7	10	-13	4	35	0	0	0	0	1	31	20
John Hayden	CHI	C	50	3	2	5	-13	25	38	0	0	0	0	0	92	21
Mackenzie MacEachern	STL	LW	27	3	2	5	1	10	32	1	0	0	0	0	47	4
Carl Gunnarsson	STL	D	18	3	4	7	11	4	18	1	0	0	0	1	8	23
Erik Karlsson	SJ	D	52	3	42	45	3	20	167	1	2	18	0	0	43	69
Chris Kunitz	CHI	LW	45	3	5	8	-9	23	36	0	0	0	0	0	61	13
Ryan Spooner	VAN	C	47	3	5	8	-10	2	60	1	0	0	0	0	30	6
Dmitry Orlov	WAS	D	71	3	22	25	0	31	89	0	0	1	0	0	111	94
Taylor Fedun	DAL	D	44	3	7	10	0	12	69	0	0	2	0	1	17	49
Colin Miller	VGK	D	55	3	23	26	-2	32	117	0	1	10	0	0	102	58
Teddy Blueger	PIT	C	17	3	3	6	5	9	19	1	0	0	0	1	39	6
Derrick Pouliot	VAN	D	61	3	9	12	0	30	57	1	1	0	0	0	76	71
Jujhar Khaira	EDM	C	57	3	14	17	-10	43	62	0	0	0	1	1	117	32
Zemgus Girgensons	BUF	C	61	3	11	14	-11	9	66	0	0	0	0	0	116	26
Josh Manson	ANH	D	68	3	12	15	-6	54	91	0	0	0	0	1	165	83
Brayden McNabb	VGK	D	70	3	11	14	12	46	65	1	0	0	0	0	177	123
Jon Merrill	VGK	D	47	3	10	13	9	51	63	0	0	0	1	0	61	65
Drake Batherson	OTT	RW	20	3	6	9	-2	6	18	2	2	1	0	0	17	21
Niklas Kronwall	DET	D	68	3	18	21	-3	36	70	0	1	4	0	0	76	80
Braydon Coburn	TB	D	63	3	16	19	7	26	100	0	0	0	0	0	71	56
Andrew Ladd	NYI	LW	20	3	7	10	3	14	26	0	0	0	0	1	31	8
Mike Reilly	MON	D	57	3	8	11	0	16	101	1	1	0	0	0	48	53
Nathan Beaulieu	WPG	D	38	3	7	10	3	32	46	0	0	1	0	0	46	37
Connor Murphy	CHI	D	40	3	8	11	14	38	65	0	0	0	0	0	88	65
Brian Dumoulin	PIT	D	68	3	19	22	30	18	85	0	0	0	0	4	127	112
Jacob De La Rose	DET	C	58	3	5	8	-13	16	54	0	0	0	0	0	71	29
Alan Quine	CGY	C	9	3	1	4	0	2	6	0	1	0	0	0	9	1
Jean-Gabriel Pageau	OTT	C	29	3	5	8	-7	2	67	0	0	0	0	0	51	28
Adam Larsson	EDM	D	70	3	14	17	-20	38	99	0	0	0	0	1	216	110
Corey Perry	ANH	RW	21	3	4	7	-12	10	44	0	1	2	0	0	15	7
Jay Beagle	VAN	C	46	3	6	9	-7	16	37	0	0	0	1	0	87	25
Nick Holden	VGK	D	53	3	10	13	2	8	59	0	0	0	0	1	81	63
Nick Leddy	NYI	D	70	3	21	24	-2	18	93	0	0	10	0	0	69	72
Noel Acciari	BOS	C	62	3	6	9	-8	25	82	2	0	0	0	0	196	35
Gustav Forsling	CHI	D	32	3	5	8	-8	24	43	0	0	0	0	0	26	26
Ryan Graves	COL	D	21	3	2	5	4	2	23	0	0	0	0	0	27	49
Charles Hudon	MON	LW	32	3	2	5	-9	16	50	0	0	1	0	0	73	9
Frederik Gauthier	TOR	C	60	3	9	12	5	10	40	0	0	0	0	0	81	22
Igor Ozhiganov	TOR	D	48	3	4	7	3	12	40	0	0	0	0	0	53	48
Zach Bogosian	BUF	D	61	3	14	17	-2	50	88	0	0	1	1	0	79	108
Philip Varone	PHI	C	39	3	4	7	0	6	25	0	0	0	0	0	18	15
Filip Hronek	DET	D	35	3	13	16	-10	30	55	0	1	2	0	1	50	24
Alexandre Fortin	CHI	C	24	3	3	6	-6	2	29	1	0	0	1	0	21	7
Oliver Kylington	CGY	D	36	3	4	7	2	10	18	1	0	0	0	0	10	40
Erik Cernak	TB	D	47	3	10	13	21	29	83	0	0	0	0	0	160	67
Frederick Gaudreau	NSH	C	52	3	1	4	1	2	41	1	0	0	0	0	24	18
Jakob Forsbacka-Karlsson	BOS	C	28	3	6	9	1	2	21	0	0	1	0	0	14	9
Alex Goligoski	ARI	D	65	3	23	26	-11	14	81	0	1	6	0	2	58	133
MacKenzie Weegar	FLA	D	52	3	10	13	2	48	63	1	0	1	0	0	97	80
Ben Street	ANH	C	21	3	2	5	-4	2	19	0	0	0	0	0	19	9
Marc Staal	NYR	D	69	3	10	13	-12	30	73	0	0	0	0	0	75	97
Johnny Boychuk	NYI	D	67	3	14	17	5	21	149	1	1	2	0	1	136	103
Jonathan Ericsson	DET	D	50	3	2	5	-11	35	47	1	0	0	0	0	89	55
Sheldon Dries	COL	C	40	3	3	6	-7	26	44	0	0	0	1	0	66	20
Antti Suomela	SJ	C	27	3	5	8	1	4	42	0	0	0	0	0	10	11
Nikita Zaitsev	TOR	D	70	3	8	11	2	18	59	0	0	0	0	0	110	140
Colby Cave	EDM	C	41	2	5	7	-6	10	50	1	0	0	0	0	55	16
Jan Rutta	TB	D	26	2	6	8	1	12	26	0	0	0	0	0	18	23
Kris Russell	EDM	D	60	2	12	14	2	18	57	0	0	0	0	0	75	167
Scott Harrington	CLS	D	64	2	15	17	2	21	48	0	0	0	0	0	61	66
Joel Edmundson	STL	D	62	2	9	11	5	68	100	1	0	0	0	0	124	105
Brandon Manning	EDM	D	39	2	2	4	-15	25	33	0	0	0	0	0	63	40
Chris Wideman	PIT	D	25	2	5	7	-12	18	27	1	0	1	0	0	35	26
J.T. Brown	MIN	RW	46	2	4	6	-1	22	45	0	0	0	0	0	81	7
Matt Grzelcyk	BOS	D	61	2	14	16	6	66	84	0	1	5	0	0	44	52
Nick Seeler	MIN	D	63	2	4	6	-8	53	63	1	0	0	0	0	67	100
Trevor van Riemsdyk	CAR	D	65	2	11	13	-5	6	85	1	0	0	0	0	28	71
Madison Bowey	DET	D	39	2	6	8	-2	42	42	1	0	0	0	0	51	47
Nicolas Deslauriers	MON	LW	45	2	1	3	-10	22	41	0	0	0	1	0	127	22
Anton Stralman	TB	D	45	2	15	17	12	8	57	0	0	1	0	0	55	67
Ben Lovejoy	DAL	D	60	2	7	9	7	35	76	0	0	0	0	0	70	93
Brooks Orpik	WAS	D	43	2	6	8	2	19	33	0	0	0	0	0	101	67
Deryk Engelland	VGK	D	63	2	7	9	-4	12	83	1	0	0	0	0	144	125
Drew Stafford	NJ	RW	46	2	7	9	-8	16	61	0	0	1	0	0	42	16
